Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
48,10755007,yanqiangmiffy,"2023-09-19 01:22:24",0.46941,115,"hengzheng,quincyqiang"
49,10742337,Dracarys,"2023-10-11 11:33:31",0.46994,80,rohitsingh9990
50,10771938,tomosan,"2023-10-11 15:16:29",0.47023,182,tomoyakawabe
51,10677170,"Pavlo Govoruha","2023-10-08 18:41:12",0.47058,48,govoruha
52,10683303,"Sercan Yeşilöz","2023-10-10 22:03:08",0.47074,261,sercanyesiloz
53,10744010,Aristarkh_BFG,"2023-10-11 18:48:48",0.47087,10,aristarhbfg
54,10710818,Trushant,"2023-10-11 22:00:23",0.47105,45,trushk
55,10799566,lumoumou,"2023-10-11 14:38:10",0.47135,70,"abrt12345,hinsay,liukelin,lumoumou,zhenshitainanle"
56,10700461,Ranjeet,"2023-08-08 06:06:04",0.47141,27,contact2028
57,10697561,Shiro,"2023-10-11 13:49:37",0.47141,74,ludovick
58,10813357,BUUMOO,"2023-10-08 11:28:33",0.47142,22,buumoo
59,10819484,📝yukiZ📝,"2023-10-11 16:03:37",0.47157,204,hideyukizushi
60,10703582,"Pirat Pothavorn","2023-10-09 15:23:40",0.47188,38,"earthearth,piratpothavorn"
61,10674914,wanwan7123,"2023-10-11 14:41:51",0.47214,72,"chiman3se,shu421,tomoyayanagi"
62,10974962,phnghiapro,"2023-10-11 10:26:44",0.47234,50,phnghiapro
63,10871220,Oswald007,"2023-10-10 06:15:46",0.47247,44,"fripyets,haosen213,oswald007,xietian1998,zhangbo50"
64,10842297,Mr.T,"2023-10-11 05:15:50",0.47308,63,"kcolczhong,mryexiu,muyh0331,rclurn,silencespring"
65,10676801,:(,"2023-10-11 21:39:23",0.47308,109,"chaitanyagiri,harshitkmr"
66,10675986,yabea,"2023-10-11 01:22:55",0.47313,9,yukia18
67,10787697,"Uesugi Erii","2023-10-11 14:31:51",0.47320,106,uesugierii
68,10723996,Sophie,"2023-10-04 13:21:25",0.47320,36,sophie12
69,10839709,AGinW,"2023-10-11 21:08:33",0.47324,83,"huili2,ruichongwang,yihuangds"
70,10682037,Catharis,"2023-10-11 06:37:53",0.47349,45,fahmiayari
71,10686665,"Huchen Jiang","2023-09-02 01:14:50",0.47349,41,huchenjiang
72,10830241,ttkk2,"2023-10-11 11:40:22",0.47360,87,ktsuda
73,10781379,404NOTFOUND,"2023-10-11 14:18:59",0.47363,170,"lixiao0503,nlchen,noi031"
74,10788676,DaydaycodingDaydayup,"2023-08-25 00:11:01",0.47366,18,daydaycodingdaydayup
75,10783265,S.Taba,"2023-10-11 12:26:38",0.47377,27,soutabata
76,10675368,gezi,"2023-09-27 07:22:34",0.47394,10,goldenlock
77,10888936,misaka,"2023-10-11 15:00:01",0.47402,153,misaka
78,10837198,fyk,"2023-10-11 13:56:53",0.47411,23,fyk778
79,10725558,JeonJangGodGame,"2023-10-11 16:14:56",0.47416,76,"danielchae,kimseunghee"
80,10760491,"Stoicescu Adrian-Nicolae","2023-10-11 16:29:31",0.47429,60,peridot76
81,10844592,BK0717,"2023-10-11 02:49:29",0.47447,21,forgakki
82,10781823,tatuya44,"2023-10-11 14:39:34",0.47459,96,tatuya44
83,10791709,mtmt0903,"2023-10-11 14:55:03",0.47467,115,"aruaru0,mtmt0903"
84,10736064,Orange,"2023-10-11 14:56:42",0.47471,85,youwbpyr
85,10674687,sfnga,"2023-10-11 19:01:46",0.47479,35,myppka
86,10865630,"Javi Gallego & Mingjie Wang","2023-10-10 15:22:09",0.47484,89,"javigallego,xiaowangiiiii"
87,10798264,中邮信科大模型团队,"2023-10-11 16:43:05",0.47489,36,dandingclam
88,10697143,过拟合高手,"2023-10-11 14:17:22",0.47490,238,hydantess
89,10770173,"Shake to where","2023-10-11 10:37:21",0.47491,86,"kebizhang,leimeng46,mlerxue,yingshuli"
90,10860293,logachevpa,"2023-09-06 18:18:39",0.47506,6,logachevpa
91,10675545,hukuda222,"2023-10-11 13:27:53",0.47517,275,"hukuda222,kanbehmw,ryotak12"
92,10837906,"Lior Toledano","2023-10-11 14:10:23",0.47520,53,liortoledano
93,10674408,Kelvin,"2023-10-11 06:05:11",0.47529,114,xyzdivergence
94,10962051,Greysheepwang,"2023-10-07 16:18:48",0.47537,37,"greysheepwang,krisfalmighty,rdxsun,sapphire66"
95,10761941,vahid,"2023-10-11 13:28:53",0.47546,46,vahidr
96,10675927,LitCoders,"2023-10-11 19:57:28",0.47552,172,"churkinnikita,denismirnov"
97,10681184,"Andrés Cardoso","2023-10-05 08:42:05",0.47565,57,ancaco12
98,10994220,"Zaakcii Ru","2023-10-11 17:31:47",0.47590,22,zaakciiru
99,10676067,sanseymysamba,"2023-10-10 16:04:27",0.47599,399,"aleron751,bulivington,rustemx,valeryvalov"
100,10699133,AkiraIshikawa,"2023-10-11 05:47:59",0.47606,76,akiraishikawa
101,10684288,"Bilbo Baggins","2023-10-04 03:28:30",0.47608,24,bilbobaggins123
102,10764773,Aindriú,"2023-10-09 22:35:30",0.47613,92,"andtem2000,solver1605"
103,10797441,Supermellow,"2023-10-11 07:29:38",0.47617,61,"supermellowai,yoomellow"
104,10747616,neongen,"2023-10-08 14:54:34",0.47626,26,neongen
105,10780712,PFESS,"2023-09-08 17:20:02",0.47629,19,"charmq,yoichi7yamakawa"
106,10687776,"Vikram Sandu","2023-10-08 12:25:50",0.47643,136,vikramsandu
107,10688604,"Xiaosu (Frank) Hu","2023-10-11 21:48:09",0.47646,61,xiaosufrankhu
108,10795699,nynyny67,"2023-10-11 13:05:21",0.47654,18,nynyny67
109,10831422,nayu555,"2023-10-11 06:02:23",0.47659,80,"kasumihotaru,kotarojp,nayu555,tak012"
110,10676403,xc-ant,"2023-10-11 09:52:39",0.47662,14,albert2017
111,10679542,Eva,"2023-10-11 19:30:26",0.47666,37,sthuthyevangelinem
112,10787879,Hiro_Oza,"2023-10-11 07:19:52",0.47687,77,ozhiro
113,10785492,Ilya&Alexey&Mary,"2023-10-11 19:14:36",0.47697,79,"alexeyevgenov,ilyalion,marygk"
114,10834214,RyotaroAbe,"2023-10-11 17:24:28",0.47705,31,ryotaro45123
115,10853670,distiller,"2023-10-11 07:42:32",0.47710,53,"cococver,distiller,flynote,fullconnect,kagglerbing"
116,10700455,S&A,"2023-10-11 20:35:02",0.47720,29,"alankabisov,stabuev"
117,11009510,lhchina,"2023-10-11 12:47:30",0.47760,23,lhchina
118,10948649,KEEHB97,"2023-10-10 10:53:47",0.47770,32,keehb97
119,10689073,"Ricardo Shilly Shally","2023-10-11 07:27:26",0.47773,82,sandiago21
120,10681998,"Yevhenii & Gregor","2023-10-11 13:26:55",0.47787,345,"evgeniimaslov2,gregorlied"
121,10870619,ph_one1,"2023-10-11 13:39:03",0.47790,7,phone1
122,10821500,ssnsos,"2023-10-11 09:46:06",0.47793,19,stg44g3g36hk416hk417
123,10675011,Falcon,"2023-10-09 23:56:16",0.47796,35,aromani
124,10842476,challenger,"2023-10-11 15:38:55",0.47798,9,uplus26e7
125,10750805,chen,"2023-10-11 17:56:53",0.47800,46,russolechen
126,10961007,Yu,"2023-10-11 12:48:56",0.47826,59,"nanguyen,tuntrnanh1222,vantranxuan"
127,10716258,Newbies,"2023-10-11 12:26:00",0.47856,39,"biennh96,dinhthihongthom"
128,10956502,JumpeiT,"2023-10-11 13:36:26",0.47874,15,econjt
129,10909734,yamada,"2023-10-11 02:05:11",0.47882,43,yamada
130,10791706,Muj!rush!,"2023-10-11 14:26:56",0.47892,46,mujrush
131,10874500,"3sigma #2","2023-10-11 01:44:05",0.47895,49,mingccc
132,10886179,"Carlos Hideo Yamaguchi","2023-10-11 12:55:25",0.47901,86,carloshy
133,10755598,Chenglu,"2023-09-29 14:38:04",0.47902,74,snaker
134,10819552,KiwiTech,"2023-10-11 03:05:29",0.47916,51,"chesterx,jasonzhang2022,kiwileodu,lee927"
135,10740395,katwooo,"2023-10-11 09:46:14",0.47924,23,katwooo
136,11005970,"harriet han","2023-10-11 19:33:43",0.47926,6,harriethanyujie
137,10676131,Cuala,"2023-10-11 17:11:26",0.47932,55,panggelia
138,10675418,GoLoco,"2023-09-21 09:51:58",0.47939,20,goloco001
139,10866515,"Mikhail Karchevskiy","2023-10-11 12:10:55",0.47965,39,suvalex
140,10679520,Stochoshi,"2023-10-11 23:34:00",0.47968,14,stochoshi
141,10829110,T__Nakahara,"2023-10-11 17:12:59",0.47976,45,chuuuya5269
142,10834154,"Nat Bel ML Fun","2023-10-10 16:47:08",0.47984,6,natbel4ml
143,10716524,Sugawarya,"2023-08-26 11:29:05",0.47992,22,sugawarya
144,10761671,"Wilmer E. Henao","2023-10-11 16:54:30",0.48002,85,verracodeguacas
145,10676580,"Kha Vo","2023-10-11 08:55:54",0.48008,40,khahuras
146,10848921,Kirderf,"2023-10-11 20:17:47",0.48012,174,kirderf
147,10792451,empty,"2023-10-09 07:56:41",0.48026,19,kvlmll
148,10850041,STeam,"2023-10-08 08:18:35",0.48049,26,"huizheli,jjerryjjiang,w3225586787,wilhemzhou,zensur"
149,10955213,Ehsan,"2023-10-11 16:55:23",0.48054,30,safavieh
150,10746525,hoyo,"2023-10-10 02:00:49",0.48066,187,narutooooooooo
151,10890871,"Anil Reddy","2023-10-11 12:46:32",0.48083,49,anilreddyvv
152,10766386,"tems HFH","2023-10-10 01:20:15",0.48099,44,"kiseno,minoii,nagonago"
153,10861371,kaggo,"2023-10-09 00:06:50",0.48101,28,"daisyliu315,wenlangxuan,yingruiyang2023,yutingweng2"
154,10795040,philurame,"2023-08-28 22:50:53",0.48103,12,philurame
155,10817326,"Salo Elia","2023-10-11 16:03:47",0.48121,47,saloelia
156,10676177,tc0000,"2023-10-11 02:08:53",0.48127,81,tc0000
157,10693941,takadaat,"2023-10-11 10:54:18",0.48137,195,takadaat
158,10752422,MenghaoZhao,"2023-10-11 16:26:51",0.48150,59,menghaozhao
159,10675044,"Joakim Arvidsson","2023-10-04 22:41:29",0.48166,28,joebeachcapital
160,11007836,UWCOPAIR,"2023-10-06 19:41:53",0.48185,3,"richardxintie,zachh8"
161,10680648,toubangxiaofendui,"2023-10-11 18:08:37",0.48185,32,"w842442862,wangzhangyun"
162,10773319,Tofu,"2023-10-11 17:41:19",0.48197,41,"imroze,mariaawaheed,talhawaheed152"
163,10842114,"Dimitris Leventis","2023-10-07 20:46:12",0.48202,20,dimitrislev
164,10696180,"Mendrika Ramarlina","2023-08-27 19:45:13",0.48203,43,ramarlina
165,10685867,"Alexey Latskov","2023-10-11 19:53:06",0.48205,55,alexcei
166,10812005,"Andrey Nesterov","2023-10-11 16:25:43",0.48218,124,andreynesterov
167,10989042,"Konrad Wojtasik","2023-10-11 15:36:15",0.48233,14,luxxar
168,10698134,democatXamer,"2023-09-06 12:49:10",0.48234,15,w1326627677
169,10830167,浮鮴,"2023-10-11 01:24:26",0.48240,82,ukigori
170,10691036,"Linguistic Ninjas","2023-10-10 19:23:26",0.48244,91,"poskok,wimgovers"
171,10909957,"Manuel Campos","2023-10-10 15:29:12",0.48253,44,coreacasa
172,10854302,"never give up!!!","2023-10-11 17:56:10",0.48263,54,"dreamkaggle,jinherry,koleriche,zhangyaji,zhaohaixiang"
173,10818959,hatarakitai,"2023-10-11 17:41:12",0.48264,4,ajobseeker
174,10871686,satonaka,"2023-10-11 18:51:02",0.48280,22,satonakayahoo
175,10792344,MOK,"2023-10-11 22:13:42",0.48282,41,mohamedomarkaabar
176,10983905,MORI123,"2023-10-11 17:42:01",0.48283,26,mori123
177,10792005,"Dristanta Das","2023-10-08 10:25:31",0.48289,115,dristantadas
178,10747224,FPP_ZRH,"2023-10-11 19:28:05",0.48293,63,fppzrh
179,10787207,"Artem Rumyantsev","2023-10-09 11:30:03",0.48300,24,tovvelie
180,10688163,"Ali Ibrahim","2023-10-11 16:14:02",0.48308,138,aliibrahimali
181,10778479,Shinichi,"2023-10-11 07:59:47",0.48316,58,shinuk
182,10733234,dttjrhk,"2023-10-11 07:22:22",0.48323,108,dttjrhk
183,10806047,"Takehiro Yano","2023-10-03 23:08:18",0.48323,4,takyano
184,10676425,pjmathematician,"2023-10-05 10:13:36",0.48329,29,pjmathematician
185,10895387,dntwannawritecode,"2023-10-11 03:23:45",0.48336,32,dntwannawritecode
186,10863755,"Amey Rambatla","2023-10-03 12:34:18",0.48344,26,syndri224
187,10756671,CC,"2023-10-07 13:03:49",0.48376,8,"eipitong,ruiyangqin"
188,10717689,"Igor Litvin","2023-10-11 17:21:44",0.48380,268,igorlitvin
189,10717848,hokuyama,"2023-10-04 14:38:39",0.48381,75,hokuyama
190,10676914,kkiller,"2023-10-06 22:19:09",0.48386,42,kneroma
191,10876819,jan1000,"2023-10-11 17:59:09",0.48392,10,jan1000
192,10975635,ninja,"2023-10-05 23:16:08",0.48394,20,n7inja
193,10866496,cczouk,"2023-10-11 14:15:04",0.48395,118,cczouk
194,10691393,"masai (yaa_seeee & irishu)","2023-10-02 16:11:58",0.48412,52,"shu9154dede,yaaseeee"
195,10871302,"Visto Kartika","2023-09-24 03:58:29",0.48414,8,vistokartika
196,10737875,"Aleksey SCHUKIN","2023-10-10 05:47:02",0.48418,27,alekseyschukin
197,10698526,"C R Suthikshn Kumar","2023-10-11 16:59:35",0.48419,28,crsuthikshnkumar
198,10726505,"Sergey Zhitansky","2023-10-10 12:34:50",0.48425,6,szhitansky
199,10674797,"kaggle practice team","2023-09-30 01:10:12",0.48433,73,"kunihikofurugori,takahashi1sei,tt0331"
200,10678740,Ryan,"2023-10-07 15:49:16",0.48439,3,ryanet
201,10907875,XinYiLea,"2023-10-11 10:16:05",0.48443,17,xinyilea
202,10702700,sunnyLX,"2023-09-20 14:57:31",0.48443,7,sunnylx
203,10724079,Gloomy,"2023-10-11 04:48:34",0.48444,115,gloomychan
204,10980697,mon,"2023-10-11 14:12:55",0.48444,13,ichiko
205,10840011,"Santiago Mota","2023-10-11 11:07:52",0.48448,8,santiagomota
206,10721777,"Матвей Сапрыкин","2023-10-11 16:19:09",0.48451,29,mlffkr
207,10688080,kfsky,"2023-10-11 15:29:33",0.48451,82,kengofujii
208,10890948," Hassam Nazir","2023-10-07 16:41:42",0.48458,10,hassamnazir
209,10838446,"Elias Solomatin","2023-10-11 15:57:22",0.48459,20,eliassolomatin
210,10799168,ktokunaga,"2023-10-10 11:12:49",0.48460,51,kazuakitokunaga
211,10939488,"Zhenyu Ying","2023-10-10 18:47:08",0.48461,10,yingzhenyu
212,10839776,Karblet,"2023-09-04 22:24:38",0.48461,4,karblet
213,10753258,NLE,"2023-10-11 05:01:16",0.48461,51,"arkashamartov,iconle"
214,10930500,LoseControl,"2023-09-29 18:57:11",0.48467,5,yeaaaahz
215,10755638,"Ease Gao","2023-10-08 06:35:02",0.48469,10,gojay001
216,10904012,wisszom,"2023-10-11 12:10:55",0.48475,6,wisszom
217,10938425,Yuna0603,"2023-09-28 04:33:41",0.48476,4,yuna0603
218,10788363,"Luis R Vieira","2023-10-07 02:32:42",0.48481,45,luisrvieira
219,10854961,"Hiroshi Sakiyama","2023-09-01 23:29:49",0.48483,2,hiroshisakiyama
220,10840585,Lum,"2023-10-11 17:13:16",0.48484,14,lum04thebest
221,10679098,"Kamal Das","2023-10-07 17:19:53",0.48485,20,kmldas
222,10869427,"Masaru F","2023-10-10 21:51:40",0.48487,18,fukuokamasaru
223,10830991,HOS_sbi,"2023-10-08 07:03:21",0.48492,30,sbi1209
224,10707717,i-main,"2023-10-09 09:51:41",0.48496,85,imainjob
225,10691105,"Nerijus Remeikis","2023-10-06 17:55:47",0.48503,5,nerijusremeikis
226,10807484,"KOSUKE MITSUI","2023-10-10 00:01:51",0.48504,96,kosukemitsui
227,10818334,"Harijs Ceriņš","2023-10-09 10:03:43",0.48504,4,harijscerins
228,10750840,budetinetakoe,"2023-10-11 20:37:50",0.48504,42,budetinetakoe
229,10970709,"Ihor Biruk","2023-10-10 19:55:24",0.48505,2,biruk1230
230,10780118,Grigol,"2023-10-07 22:39:53",0.48507,10,grigol1
231,10674915,"SeshuRajuP 🧘‍♂️","2023-10-11 13:03:06",0.48508,15,seshurajup
232,10696412,"Amit Prasad","2023-09-16 19:52:43",0.48512,7,amitprasad
233,10807710,sirius,"2023-10-11 08:48:47",0.48513,6,sirius81
234,10787683,trt,"2023-09-24 10:18:29",0.48514,7,bartoszpodkanowicz
235,10805136,"Vladimir Kuzin","2023-10-11 13:08:04",0.48514,19,vladimirkuzin
236,10907215,Kingthegarden,"2023-10-10 00:10:07",0.48516,21,jeongwonkim10516
237,10858752,Izotov,"2023-10-09 20:29:48",0.48517,6,izotov
238,10936881,"chiwoon hyun","2023-10-11 02:04:08",0.48517,6,"chiwoonhyun,ejteee,heewonyeom,youngteakhong"
239,10834819,taylor1106037,"2023-10-11 02:34:02",0.48518,41,taylor1106037
240,10892032,Nicole,"2023-10-08 09:02:59",0.48518,16,"algerwang,shangjianzhong"
241,10993134,Sanahe,"2023-10-09 07:44:19",0.48518,10,sanahe
242,10829444,ujimaa,"2023-10-01 02:26:04",0.48520,13,ujimaa
243,10842395,PauloNascimento,"2023-10-02 22:38:41",0.48520,4,"paulonascimento,pvlima"
244,10730414,"Andrei Papou","2023-10-11 13:16:25",0.48522,10,andreippv
245,10854731,"Aleksey Trepetsky","2023-10-11 15:04:11",0.48524,27,"alekseytrepetsky,ivanblch"
246,10766595,"Pietro Maldini","2023-10-01 08:33:32",0.48524,13,pietromaldini1
247,10998980,"Hoyoung Jeong","2023-10-11 11:50:24",0.48527,8,heuingttiang
248,10934830,"Topple My Tiger","2023-10-08 03:07:01",0.48528,10,"alyalsamal,ashisparida"
249,10788093,"Dylan Liu","2023-10-11 15:35:54",0.48528,72,dylanliuofficial
250,10806959,"Hajime Tamura","2023-10-07 16:01:08",0.48529,5,thajime
251,10799211,BJUT4Science,"2023-10-09 02:40:28",0.48531,25,bjut4science
252,10677118,"Aditya Parikh","2023-10-10 19:37:38",0.48531,107,"adityaparikh668,crimson206"
253,10882071,"Hyojoon Jung","2023-10-10 04:48:46",0.48532,14,"ejyu2j1,gaba42,hongjinwon,hyejijo,hyojoonjung"
254,10797300,Rorical,"2023-10-06 08:37:49",0.48532,4,hash548
255,10818322,"Nhựt Tiến Nguyễn Bạch","2023-10-09 00:53:32",0.48536,7,"hodinhtrieu,nhttinnguynbch"
256,10674473,"Marek Nurzynski","2023-10-11 13:30:26",0.48539,22,marek3000
257,10714422,arpan129,"2023-10-04 07:19:29",0.48541,12,arpan129
258,10814689,Vibhatsu,"2023-10-11 14:21:15",0.48542,25,vibhatsu
259,10981542,MariaKuls,"2023-10-08 14:10:35",0.48543,10,mariakuls
260,10886884,JongwonCh,"2023-10-06 05:04:31",0.48544,45,jongwonch
261,10730142,FuriesX,"2023-09-27 16:40:41",0.48545,63,"furiesx,kenlee99,zhengxiluo56"
262,10964321,DaisukeFukayama,"2023-09-28 05:00:37",0.48545,3,daisukefukayama
263,10711142,"Kamo Neggi","2023-10-11 13:11:13",0.48545,15,keisukefujiwara
264,10829722,Chenfeng_Meng,"2023-09-13 05:08:37",0.48546,14,chenfengmeng
265,10676022,HiroyukiSasaki815,"2023-10-05 03:40:28",0.48550,14,hiroyukisasaki815
266,10829982,"Roy Lam","2023-10-09 10:39:10",0.48550,110,wchan757
267,10818065,"The Neural Ninjas","2023-10-09 03:56:30",0.48551,3,"amarnadhreddyavuduri,arka47,prateek146,varaprasadvetcha"
268,10837549,"Chakkrit Termritthikun","2023-10-06 17:22:48",0.48555,4,kongpasom
269,10675672,kglctf,"2023-10-11 15:42:07",0.48555,60,kglctf
270,10682742,"Kirill Dubovik","2023-10-09 23:51:49",0.48556,30,kirilldubovik
271,10677509,eval,"2023-08-17 22:42:02",0.48556,5,zhugds
272,10856379,libera826,"2023-10-04 08:26:38",0.48558,4,"libear826,lumistudy,yunsunam"
273,10696324,radioactive,"2023-09-29 09:47:54",0.48559,2,tiquasar
274,10675943,kojimar,"2023-10-10 22:42:45",0.48560,10,kojimar
275,10740050,alice777,"2023-09-30 13:19:19",0.48562,5,alice777
276,10823699,"Yijun Joyce Jin","2023-09-18 09:38:26",0.48564,22,yijunjoycejin
277,10951046,dfo4653,"2023-10-02 02:14:27",0.48566,2,"alexzishuoxu,dfo4653,kevinhu28,keyneswu,mengranhu"
278,10765192,yangxze,"2023-10-08 08:57:10",0.48568,25,yangxze
279,10930385,"0861212987 ­","2023-10-01 14:14:16",0.48568,12,spoutop
280,10678711,palsan,"2023-10-09 12:05:40",0.48568,37,palsan
281,10744836,"Louis Sanna","2023-10-11 10:46:19",0.48568,105,louissanna
282,11010091,"Udesh Senevirathne","2023-10-08 07:21:59",0.48568,6,udeshchathumal
283,10857026,"Đàm Văn Tài","2023-09-30 11:06:43",0.48569,3,damvantai
284,10833573,TooruOonuma,"2023-10-10 10:26:28",0.48570,7,sirokujira
285,10972369,ganzy,"2023-10-11 14:46:25",0.48571,5,nomuraryota
286,10957076,stophobia,"2023-09-27 06:22:00",0.48572,7,stophobia
287,11005544,kkkggg,"2023-10-08 05:18:19",0.48573,7,kkkggg
288,10803348,"Supreme Taker","2023-10-02 03:40:46",0.48578,7,fanfrankfeng
289,10840782,huangfy,"2023-10-08 04:31:03",0.48579,4,huangfy
290,10698136,"Chun-Ting, Lin","2023-09-29 15:40:18",0.48579,51,chuntinglin
291,10744098,Anton_Kruglikov,"2023-10-10 12:33:46",0.48580,16,antonkruglikov
292,10857623,"Raj Kulkarni","2023-09-28 09:57:18",0.48580,9,drrajkulkarni
293,10987601,ri33,"2023-10-10 14:30:32",0.48581,2,risatk
294,10735981,ya9do,"2023-10-01 06:02:34",0.48584,2,ya9doo
295,10684455,AlloyShine,"2023-10-03 00:58:29",0.48585,17,alloyshine
296,10837292,Newformers,"2023-10-10 13:57:08",0.48586,124,"aayushpatni,mcpenguin,yeoyunsianggeremie"
297,10893433,"Haruhisa Kimoto","2023-10-11 01:07:19",0.48587,33,haruhisakimoto
298,10925713,a123_zzw,"2023-10-09 13:53:01",0.48588,31,"a123zzw,wujingda"
299,10852154,"David Zhang","2023-10-11 12:15:01",0.48589,3,topoojuly
300,10755623,MICADEE,"2023-10-11 15:36:25",0.48589,6,adegladius
301,10699961,"Scenery SunFireInk","2023-09-27 19:22:56",0.48592,6,scenerysunfireink
302,10813863,Ogurtsov,"2023-09-23 16:51:26",0.48592,11,ogurtsov
303,10831130,ShuoZhang,"2023-10-09 01:36:11",0.48593,132,"georgescheng,mingxiaoli420,samuelch6210,shuozhang,yijunlili"
304,10841776,"Eduard A. Stefanescu","2023-10-11 00:06:01",0.48595,75,eduardastefanescu
305,10936515,"Zhiyu Yin","2023-10-04 00:48:17",0.48596,3,zhiyuyin
306,10677431,"Funmatu Funmatu","2023-10-05 04:01:12",0.48597,20,funmatufunmatu
307,10868856,"Hiroyasu Watai","2023-10-11 13:26:37",0.48598,5,hiroyasuwatai
308,10695353,"Mian Wang","2023-10-10 00:48:16",0.48598,13,mianwang1024
309,10851133,NOTOVERFITTING,"2023-10-11 10:25:17",0.48599,17,notoverfitting
310,10751395,Lucario129,"2023-10-08 06:43:02",0.48600,8,lucario129
311,10972521,keigo_desu,"2023-10-10 12:06:48",0.48601,10,keigodesu
